iter	Logloss
0	0.6256190401
1	0.5694914567
2	0.5300824564
3	0.4965647036
4	0.4719353773
5	0.4508972048
6	0.43543877
7	0.4215211628
8	0.4112042557
9	0.4026228236
10	0.3960234315
11	0.3906047905
12	0.3863294425
13	0.382998079
14	0.3795438984
15	0.377057659
16	0.3743598491
17	0.3724309513
18	0.3705639678
19	0.3690004986
20	0.3679095086
21	0.3663409449
22	0.365276951
23	0.364595539
24	0.3637884919
25	0.3631398274
26	0.3624807682
27	0.3619871109
28	0.3613374341
29	0.3610820152
30	0.360527166
31	0.3602313859
32	0.359756206
33	0.3591905498
34	0.35876441
35	0.3584310429
36	0.3578820041
37	0.3576730126
38	0.3574251337
39	0.3571009981
40	0.3569985565
41	0.3567071206
42	0.3566246205
43	0.356404479
44	0.3559910421
45	0.3558389703
46	0.3553116013
47	0.355125526
48	0.3548568034
49	0.3544951037
50	0.3541280384
51	0.3538383437
52	0.3535202358
53	0.3533297421
54	0.3530930409
55	0.3527979919
56	0.352598185
57	0.3524015667
58	0.3520965559
59	0.3517098973
60	0.3514096116
61	0.3514090585
62	0.3512252159
63	0.3509889277
64	0.3508622569
65	0.3508621738
66	0.3508178646
67	0.3506292504
68	0.350621489
69	0.3503398815
70	0.3501010787
71	0.349770694
72	0.3496934856
73	0.3494123532
74	0.3491713081
75	0.3488198954
76	0.3486492442
77	0.3484456473
78	0.348175866
79	0.347935345
80	0.3476887296
81	0.3473665897
82	0.3473265592
83	0.3471509279
84	0.347075332
85	0.346759705
86	0.3466952188
87	0.346581238
88	0.3464452758
89	0.3464381884
90	0.3462847053
91	0.3461463448
92	0.3460943249
93	0.3458614606
94	0.3456942189
95	0.3455061443
96	0.3453792268
97	0.3452693632
98	0.3452653949
99	0.3449972282
100	0.3444809153
101	0.344411282
102	0.3441520112
103	0.344004593
104	0.3436579738
105	0.3435298597
106	0.3434582246
107	0.3431308036
108	0.342809127
109	0.3426729953
110	0.3424423374
111	0.3422039666
112	0.3418366142
113	0.3417180159
114	0.3414978368
115	0.3412959789
116	0.3409126893
117	0.340794763
118	0.3404897644
119	0.3401064423
120	0.3399772135
121	0.3395261799
122	0.3392816048
123	0.339063995
124	0.3387744857
125	0.3385127797
126	0.3383249741
127	0.3380123262
128	0.3377042458
129	0.3373635993
130	0.3371406865
131	0.3369231285
132	0.3369109294
133	0.336708841
134	0.3364119892
135	0.3360276468
136	0.3360118417
137	0.335761508
138	0.3354469143
139	0.3352172155
140	0.3349150479
141	0.334676773
142	0.3342915599
143	0.3340683285
144	0.3340583309
145	0.3340378356
146	0.3336299135
147	0.3334436628
148	0.3333770388
149	0.333103094
150	0.3329266837
151	0.3326403169
152	0.3322058981
153	0.3319037632
154	0.3317043056
155	0.3313204622
156	0.3312198243
157	0.3310570088
158	0.3307682109
159	0.3305214605
160	0.3304129614
161	0.330290823
162	0.3302101587
163	0.3301711349
164	0.3300962544
165	0.3298114325
166	0.3297199097
167	0.3294365741
168	0.3293178987
169	0.3290179302
170	0.3290037834
171	0.3286787119
172	0.328193403
173	0.3280128875
174	0.3277899818
175	0.3276487683
176	0.3275216422
177	0.327359528
178	0.3269601245
179	0.3269298658
180	0.326707562
181	0.3265897777
182	0.3263073333
183	0.3260360726
184	0.3258247054
185	0.3258178257
186	0.3256894503
187	0.3256303286
188	0.3253749557
189	0.3250540131
190	0.3249056541
191	0.3247359721
192	0.3245026546
193	0.3243283283
194	0.3242720523
195	0.324216331
196	0.3241717266
197	0.3239246114
198	0.3238552623
199	0.3236453334
200	0.3234810776
201	0.3232655959
202	0.3230697237
203	0.3229467575
204	0.3227273665
205	0.3226831504
206	0.3226628175
207	0.3224437634
208	0.3222265606
209	0.3220556815
210	0.3219764942
211	0.3219469724
212	0.3217558101
213	0.3215460814
214	0.3213662489
215	0.3210352253
216	0.320794706
217	0.3207002776
218	0.3203782519
219	0.3202366953
220	0.3199736991
221	0.3197110169
222	0.3195548964
223	0.3194967679
224	0.319242135
225	0.3189742753
226	0.3188694867
227	0.3188516528
228	0.3187697379
229	0.3184425664
230	0.3182824021
231	0.3182006901
232	0.3180828262
233	0.3177898858
234	0.3175913454
235	0.3174612923
236	0.3172120194
237	0.317072525
238	0.3168825229
239	0.3168134349
240	0.3168058227
241	0.3164807587
242	0.3163946544
243	0.3162884188
244	0.3159919042
245	0.3156903535
246	0.3156850197
247	0.3156033966
248	0.3154230405
249	0.3152895531
250	0.3151805018
251	0.3148639006
252	0.3147914762
253	0.314633179
254	0.3143274338
255	0.3141279284
256	0.3140345739
257	0.3138475702
258	0.3135108303
259	0.3134711721
260	0.3131268577
261	0.3127850818
262	0.3125955508
263	0.3124074824
264	0.312347343
265	0.3122103681
266	0.3121225606
267	0.3119748325
268	0.3117335378
269	0.3117137871
270	0.3116161944
271	0.3115043476
272	0.3113131409
273	0.3112352047
274	0.3111494925
275	0.3109703441
276	0.3108698708
277	0.3106242706
278	0.3104132073
279	0.3101912275
280	0.3099674163
281	0.3098829507
282	0.3096759801
283	0.3094928032
284	0.3093870285
285	0.3091277147
286	0.3089541788
287	0.3088630263
288	0.3087704946
289	0.308729744
290	0.3086543029
291	0.3083975015
292	0.3080433664
293	0.3077572187
294	0.3077528301
295	0.307535722
296	0.307449064
297	0.307303832
298	0.3070821993
299	0.3068893518
