iter	Passed	Remaining
0	74	22258
1	87	12987
2	100	9963
3	110	8183
4	120	7113
5	134	6595
6	148	6213
7	159	5808
8	173	5611
9	190	5528
10	203	5340
11	215	5167
12	225	4987
13	237	4853
14	246	4680
15	258	4586
16	268	4476
17	281	4409
18	294	4352
19	308	4322
20	319	4238
21	329	4160
22	339	4087
23	351	4037
24	360	3969
25	373	3933
26	385	3896
27	397	3863
28	407	3805
29	421	3789
30	435	3779
31	443	3711
32	456	3696
33	475	3718
34	486	3687
35	506	3713
36	524	3731
37	538	3716
38	553	3706
39	570	3707
40	586	3702
41	596	3665
42	606	3622
43	616	3584
44	641	3632
45	652	3601
46	667	3594
47	679	3564
48	700	3587
49	723	3617
50	749	3660
51	775	3697
52	799	3725
53	815	3716
54	838	3736
55	869	3788
56	884	3770
57	904	3774
58	919	3756
59	935	3742
60	954	3738
61	968	3716
62	984	3703
63	998	3683
64	1008	3646
65	1013	3592
66	1023	3559
67	1034	3528
68	1039	3479
69	1050	3452
70	1063	3428
71	1072	3397
72	1096	3408
73	1112	3396
74	1138	3415
75	1151	3394
76	1161	3364
77	1172	3336
78	1187	3321
79	1201	3302
80	1214	3284
81	1229	3269
82	1239	3241
83	1252	3219
84	1264	3198
85	1274	3172
86	1285	3148
87	1296	3123
88	1306	3098
89	1315	3068
90	1345	3091
91	1368	3094
92	1379	3069
93	1387	3041
94	1401	3025
95	1415	3008
96	1428	2988
97	1438	2964
98	1445	2935
99	1457	2915
100	1469	2895
101	1480	2874
102	1496	2862
103	1533	2889
104	1554	2886
105	1570	2874
106	1581	2851
107	1591	2829
108	1603	2810
109	1614	2788
110	1625	2768
111	1636	2746
112	1648	2727
113	1662	2712
114	1673	2691
115	1684	2671
116	1706	2669
117	1761	2716
118	1779	2706
119	1790	2685
120	1800	2663
121	1812	2644
122	1823	2624
123	1832	2601
124	1842	2579
125	1853	2559
126	1863	2538
127	1873	2517
128	1884	2498
129	1895	2478
130	1904	2457
131	1913	2435
132	1922	2414
133	1932	2394
134	1941	2373
135	1951	2353
136	1962	2334
137	1975	2318
138	1985	2299
139	1996	2281
140	2006	2262
141	2015	2243
142	2025	2224
143	2037	2207
144	2049	2190
145	2060	2173
146	2069	2154
147	2080	2136
148	2089	2117
149	2099	2099
150	2113	2085
151	2122	2066
152	2133	2049
153	2143	2032
154	2152	2013
155	2162	1996
156	2182	1988
157	2193	1971
158	2203	1953
159	2213	1936
160	2221	1918
161	2231	1901
162	2240	1883
163	2249	1865
164	2262	1850
165	2274	1836
166	2284	1819
167	2295	1803
168	2307	1788
169	2317	1772
170	2325	1754
171	2336	1739
172	2346	1722
173	2357	1707
174	2366	1690
175	2376	1674
176	2385	1657
177	2395	1641
178	2404	1625
179	2413	1609
180	2424	1593
181	2432	1577
182	2443	1562
183	2452	1546
184	2463	1531
185	2471	1514
186	2480	1499
187	2490	1483
188	2501	1469
189	2512	1454
190	2522	1439
191	2534	1425
192	2544	1410
193	2552	1394
194	2569	1383
195	2582	1370
196	2596	1357
197	2606	1342
198	2614	1327
199	2624	1312
200	2632	1296
201	2642	1282
202	2652	1267
203	2662	1252
204	2673	1238
205	2681	1223
206	2691	1209
207	2699	1194
208	2709	1179
209	2718	1165
210	2727	1150
211	2737	1136
212	2746	1121
213	2755	1107
214	2764	1092
215	2775	1079
216	2784	1065
217	2793	1050
218	2803	1036
219	2814	1023
220	2824	1009
221	2834	995
222	2843	981
223	2853	968
224	2861	953
225	2872	940
226	2881	926
227	2889	912
228	2897	898
229	2907	884
230	2918	871
231	2926	857
232	2938	844
233	2946	831
234	2956	817
235	2967	804
236	2977	791
237	2986	778
238	2994	764
239	3004	751
240	3016	738
241	3025	725
242	3037	712
243	3047	699
244	3056	686
245	3066	673
246	3075	659
247	3086	647
248	3093	633
249	3103	620
250	3112	607
251	3122	594
252	3131	581
253	3142	569
254	3153	556
255	3162	543
256	3172	530
257	3182	518
258	3190	505
259	3199	492
260	3210	479
261	3220	467
262	3230	454
263	3239	441
264	3249	429
265	3257	416
266	3267	403
267	3275	391
268	3285	378
269	3293	365
270	3302	353
271	3311	340
272	3321	328
273	3331	316
274	3340	303
275	3349	291
276	3359	278
277	3369	266
278	3377	254
279	3386	241
280	3397	229
281	3406	217
282	3416	205
283	3425	192
284	3436	180
285	3447	168
286	3455	156
287	3465	144
288	3474	132
289	3484	120
290	3493	108
291	3503	95
292	3514	83
293	3522	71
294	3532	59
295	3541	47
296	3550	35
297	3562	23
298	3570	11
299	3581	0
