iter	Passed	Remaining
0	76	22932
1	89	13393
2	103	10265
3	118	8783
4	135	8005
5	153	7543
6	176	7378
7	202	7375
8	221	7157
9	237	6885
10	254	6686
11	268	6451
12	280	6182
13	291	5951
14	306	5825
15	316	5610
16	329	5483
17	343	5386
18	355	5254
19	367	5150
20	382	5077
21	401	5079
22	420	5061
23	435	5012
24	449	4946
25	465	4907
26	478	4840
27	493	4795
28	507	4742
29	522	4699
30	541	4697
31	562	4708
32	585	4739
33	613	4802
34	642	4861
35	658	4826
36	676	4807
37	691	4767
38	703	4708
39	721	4687
40	731	4619
41	744	4574
42	757	4525
43	768	4469
44	782	4434
45	797	4402
46	816	4396
47	832	4369
48	854	4376
49	869	4345
50	883	4312
51	903	4311
52	916	4270
53	934	4257
54	949	4227
55	959	4182
56	969	4133
57	978	4082
58	987	4032
59	996	3987
60	1007	3949
61	1013	3891
62	1021	3843
63	1033	3809
64	1041	3766
65	1047	3712
66	1063	3697
67	1076	3672
68	1081	3622
69	1090	3583
70	1104	3562
71	1116	3535
72	1128	3509
73	1140	3484
74	1151	3455
75	1163	3428
76	1174	3402
77	1186	3375
78	1196	3346
79	1210	3327
80	1226	3317
81	1240	3297
82	1251	3271
83	1260	3240
84	1272	3217
85	1281	3188
86	1290	3158
87	1298	3128
88	1307	3100
89	1312	3062
90	1320	3032
91	1329	3004
92	1336	2974
93	1343	2944
94	1352	2918
95	1361	2892
96	1368	2864
97	1377	2838
98	1382	2806
99	1390	2781
100	1399	2757
101	1406	2731
102	1416	2709
103	1423	2683
104	1432	2660
105	1440	2636
106	1448	2613
107	1457	2591
108	1467	2571
109	1475	2549
110	1485	2529
111	1494	2509
112	1503	2488
113	1511	2465
114	1520	2445
115	1527	2423
116	1535	2402
117	1548	2387
118	1559	2371
119	1570	2356
120	1580	2338
121	1589	2318
122	1598	2299
123	1607	2281
124	1618	2266
125	1628	2248
126	1637	2230
127	1647	2213
128	1656	2195
129	1665	2178
130	1674	2159
131	1683	2142
132	1691	2124
133	1701	2107
134	1709	2089
135	1718	2071
136	1728	2056
137	1738	2040
138	1747	2023
139	1756	2007
140	1764	1990
141	1772	1972
142	1781	1956
143	1793	1942
144	1804	1928
145	1815	1914
146	1826	1900
147	1835	1885
148	1844	1869
149	1854	1854
150	1868	1843
151	1882	1833
152	1899	1825
153	1909	1810
154	1922	1798
155	1932	1783
156	1942	1768
157	1953	1755
158	1962	1740
159	1974	1727
160	1987	1716
161	2012	1714
162	2032	1707
163	2048	1699
164	2059	1684
165	2069	1670
166	2079	1655
167	2090	1642
168	2101	1628
169	2113	1616
170	2122	1601
171	2134	1588
172	2144	1574
173	2155	1561
174	2165	1546
175	2176	1533
176	2186	1519
177	2196	1505
178	2207	1491
179	2217	1478
180	2229	1465
181	2238	1451
182	2248	1437
183	2257	1423
184	2267	1409
185	2277	1395
186	2287	1382
187	2298	1369
188	2309	1356
189	2322	1344
190	2333	1331
191	2344	1318
192	2353	1304
193	2363	1291
194	2373	1278
195	2382	1264
196	2392	1250
197	2401	1237
198	2411	1223
199	2420	1210
200	2430	1197
201	2440	1183
202	2451	1171
203	2461	1158
204	2470	1144
205	2480	1131
206	2491	1119
207	2500	1106
208	2511	1093
209	2520	1080
210	2531	1067
211	2539	1054
212	2550	1041
213	2559	1028
214	2569	1015
215	2579	1003
216	2589	990
217	2598	977
218	2609	964
219	2619	952
220	2632	941
221	2643	928
222	2653	916
223	2664	903
224	2674	891
225	2684	878
226	2693	866
227	2701	853
228	2710	840
229	2720	827
230	2734	816
231	2746	804
232	2763	794
233	2779	784
234	2790	771
235	2801	759
236	2810	747
237	2820	734
238	2830	722
239	2839	709
240	2850	697
241	2860	685
242	2871	673
243	2883	661
244	2897	650
245	2907	638
246	2920	626
247	2933	615
248	2943	602
249	2953	590
250	2963	578
251	2972	566
252	2981	553
253	2991	541
254	3001	529
255	3010	517
256	3021	505
257	3030	493
258	3046	482
259	3056	470
260	3065	458
261	3074	445
262	3082	433
263	3092	421
264	3102	409
265	3112	397
266	3121	385
267	3129	373
268	3142	362
269	3153	350
270	3165	338
271	3179	327
272	3191	315
273	3202	303
274	3212	292
275	3220	280
276	3232	268
277	3243	256
278	3254	244
279	3265	233
280	3274	221
281	3282	209
282	3291	197
283	3300	185
284	3309	174
285	3318	162
286	3328	150
287	3338	139
288	3349	127
289	3358	115
290	3367	104
291	3376	92
292	3384	80
293	3393	69
294	3401	57
295	3409	46
296	3417	34
297	3426	22
298	3435	11
299	3446	0
