feature,importance
attrition_rate_2022,12.388765499955577
age,12.064495725655016
experience_age_all,8.147223956068864
load_vs_district,7.190433216590294
school_size_deviation,6.76728075976747
experience_age_other,5.438492618823753
class_manager,5.069998388894937
experience_age_pedagogic_vin,4.922243383442029
max_parallel,4.6339652583848245
experience_age_pedagogic,4.493122902757124
buildings_num_filled,4.055638278238226
main_position_cat,3.875943829767223
category_active,3.839277492514519
min_parallel,3.4594318497602803
has_higher_edu,3.3580989844828344
category_qual_rank,2.230220957537518
studied_in_moscow_any,1.8456202286046246
sex,1.6345276900255707
category_qual_cat,1.3252523275957566
has_prestigious_university,1.2447832856088439
academic_degree_cat,1.1836433484977105
school_known,0.8315400170270048
n_unique_subjects,0.0
n_unique_parallel,0.0
