id,school_num,main_position,speciality,sex,age,academic_degree,category_qual,category_due,experience_age_all,experience_age_pedagogic,year,main_position_cat,academic_degree_cat,category_qual_cat,category_active,experience_age_other,is_out_next_year,experience_age_pedagogic_vin,category_qual_rank,subjects,parallels,n_unique_subjects,min_parallel,max_parallel,n_unique_parallel,class_manager,is_critical,n_unique_subjects_log
0000c29d68,121,Учитель,английского языка,0,27,,Первая категория,2026.0,6,6,2023,учитель,не_найдено,первая,активно,0,0,6,3,Английский язык,6,1,6,6,1,1,False,0.6931471805599453
000d0f08a6,229,Учитель,английского языка,0,50,,Высшая категория,2026.0,31,31,2023,учитель,не_найдено,высшая,активно,0,0,31,4,Английский язык,2,1,2,2,1,0,False,0.6931471805599453
000ee8f2b6,442,Учитель,начальных классов,0,46,,Первая категория,2024.0,28,11,2023,учитель,не_найдено,первая,активно,17,0,11,3,Английский язык,3,1,3,3,1,1,False,0.6931471805599453
00106cc362,269,Учитель,английского языка,0,49,,Высшая категория,2024.0,31,22,2023,учитель,не_найдено,высшая,активно,9,0,22,4,Английский язык,2,1,2,2,1,0,False,0.6931471805599453
0011288a40,444,Учитель,начальных классов,0,46,,Высшая категория,2026.0,26,18,2023,учитель,не_найдено,высшая,активно,8,0,18,4,Литературное чтение,4,1,4,4,1,1,False,0.6931471805599453
001495447d,274,Учитель,английского языка,0,34,,,,9,9,2023,учитель,не_найдено,не_найдено,не было,0,0,9,1,Английский язык,2,1,2,2,1,0,False,0.6931471805599453
0014d2acf4,446,Учитель,биологии,0,26,,,,3,3,2023,учитель,не_найдено,не_найдено,не было,0,0,3,1,Биология,6,1,6,6,1,0,False,0.6931471805599453
001768adf9,404,Учитель,математики,0,46,,Высшая категория,2026.0,25,25,2023,учитель,не_найдено,высшая,активно,0,0,25,4,Математика и информатика,5,1,5,5,1,0,False,0.6931471805599453
001fac7e33,64,Учитель,русского языка,0,54,,Высшая категория,2023.0,31,31,2023,учитель,не_найдено,высшая,не активно,0,0,31,4,Литература,5,1,5,5,1,1,False,0.6931471805599453
0021858ba9,144,Методист,,0,63,Кандидат педагогических наук,,,29,22,2023,учитель,кандидат,не_найдено,не было,7,0,22,1,Индивидуальный проект,10,1,10,10,1,0,False,0.6931471805599453
0021d03b81,150,Учитель,начальных классов,0,40,,Высшая категория,2024.0,20,20,2023,учитель,не_найдено,высшая,активно,0,0,20,4,Изобразительное искусство,3,1,3,3,1,1,False,0.6931471805599453
00223984f7,135,Учитель,английского языка,0,55,,Высшая категория,2025.0,37,30,2023,учитель,не_найдено,высшая,активно,7,0,30,4,Английский язык,4,1,4,4,1,1,False,0.6931471805599453
0022afa879,448,Учитель,русского языка,0,23,,,,5,1,2023,учитель,не_найдено,не_найдено,не было,4,0,1,1,Литература,6,1,6,6,1,1,False,0.6931471805599453
0026113da8,408,Учитель,математики,0,66,,Высшая категория,2024.0,49,46,2023,учитель,не_найдено,высшая,активно,3,0,46,4,Геометрия,9,1,9,9,1,0,False,0.6931471805599453
0027e2f783,412,Учитель,английского языка,0,64,,Первая категория,2017.0,40,37,2023,учитель,не_найдено,первая,не активно,3,0,37,3,Английский язык,2,1,2,2,1,0,False,0.6931471805599453
002800a12f,280,Учитель,физики,0,69,,Высшая категория,2022.0,47,47,2023,учитель,не_найдено,высшая,не активно,0,0,47,4,Практикум по решению физических задач,7,1,7,7,1,0,False,0.6931471805599453
00374777a8,467,Учитель,начальных классов,0,39,,Первая категория,2025.0,20,20,2023,учитель,не_найдено,первая,активно,0,0,20,3,Изобразительное искусство,1,1,1,1,1,1,False,0.6931471805599453
003caf757a,529,Учитель,русского языка,0,51,,Первая категория,2026.0,29,28,2023,учитель,не_найдено,первая,активно,1,0,28,3,Литература,5,1,5,5,1,1,False,0.6931471805599453
003fdefb41,435,Учитель,математики,0,31,,Высшая категория,2024.0,9,9,2023,учитель,не_найдено,высшая,активно,0,0,9,4,Алгебра,7,1,7,7,1,0,False,0.6931471805599453
004721c877,146,Учитель,начальных классов,0,66,,Высшая категория,2025.0,41,41,2023,учитель,не_найдено,высшая,активно,0,1,41,4,Литературное чтение,4,1,4,4,1,1,False,0.6931471805599453
004a9de52c,120,Педагог-организатор,,0,37,,Первая категория,2026.0,14,14,2023,учитель,не_найдено,первая,активно,0,1,14,3,Итальянский язык,5,1,5,5,1,0,False,0.6931471805599453
004badc1c1,20,Учитель,изобразительного искусства,0,55,,Высшая категория,2024.0,37,19,2023,учитель,не_найдено,высшая,активно,18,0,19,4,Изобразительное искусство,5,1,5,5,1,0,False,0.6931471805599453
004c1b7a02,478,Учитель,русского языка,0,53,,Высшая категория,2024.0,27,27,2023,учитель,не_найдено,высшая,активно,0,0,27,4,Литература,5,1,5,5,1,0,False,0.6931471805599453
004d5c9635,109,Учитель,начальных классов,0,41,,Первая категория,2025.0,22,19,2023,учитель,не_найдено,первая,активно,3,0,19,3,Литературное чтение,2,1,2,2,1,1,False,0.6931471805599453
0051575199,59,Учитель,начальных классов,0,51,,Высшая категория,2027.0,34,34,2023,учитель,не_найдено,высшая,активно,0,0,34,4,Изобразительное искусство,2,1,2,2,1,1,False,0.6931471805599453
00528f290d,214,Учитель,русского языка,0,45,,Высшая категория,2023.0,23,23,2023,учитель,не_найдено,высшая,не активно,0,0,23,4,Литература,7,1,7,7,1,1,False,0.6931471805599453
00544ecb2c,135,Учитель,истории,0,49,,Высшая категория,2024.0,32,32,2023,учитель,не_найдено,высшая,активно,0,0,32,4,История России. Всеобщая история,5,1,5,5,1,0,False,0.6931471805599453
0054fc3d57,146,Учитель,начальных классов,0,53,,Высшая категория,2027.0,34,34,2023,учитель,не_найдено,высшая,активно,0,0,34,4,Литературное чтение,2,1,2,2,1,1,False,0.6931471805599453
0057ed555a,459,Учитель,английского языка,0,27,,,,5,2,2023,учитель,не_найдено,не_найдено,не было,3,0,2,1,Китайский язык,5,1,5,5,1,1,False,0.6931471805599453
0058097d01,88,Учитель,физической культуры,0,29,,Первая категория,2025.0,8,8,2023,учитель,не_найдено,первая,активно,0,0,8,3,Ритмика,1,1,1,1,1,0,False,0.6931471805599453
005c0ec51d,333,Учитель,начальных классов,0,26,,,,3,3,2023,учитель,не_найдено,не_найдено,не было,0,0,3,1,Литературное чтение,3,1,3,3,1,1,False,0.6931471805599453
005d51d6f2,436,Учитель,изобразительного искусства,0,31,,Первая категория,2024.0,12,12,2023,учитель,не_найдено,первая,активно,0,0,12,3,Изобразительное искусство,1,1,1,1,1,1,False,0.6931471805599453
0063ed9e87,313,Учитель,английского языка,0,39,,Высшая категория,2026.0,17,9,2023,учитель,не_найдено,высшая,активно,8,0,9,4,Английский язык,2,1,2,2,1,0,False,0.6931471805599453
0065ccb031,143,Учитель,физической культуры,1,65,,Высшая категория,2021.0,40,37,2023,учитель,не_найдено,высшая,не активно,3,0,37,4,Физическая культура,1,1,1,1,1,0,False,0.6931471805599453
00754fab6b,166,Учитель,начальных классов,0,37,,,,13,13,2023,учитель,не_найдено,не_найдено,не было,0,0,13,1,Изобразительное искусство,1,1,1,1,1,1,False,0.6931471805599453
0077484105,408,Учитель,начальных классов,0,61,,Высшая категория,2025.0,41,41,2023,учитель,не_найдено,высшая,активно,0,0,41,4,Изобразительное искусство,3,1,3,3,1,1,False,0.6931471805599453
