,id,school_num,main_position,speciality,sex,age,academic_degree,category_qual,category_due,experience_age_all,experience_age_pedagogic,year,main_position_cat,academic_degree_cat,category_qual_cat,category_active,experience_age_other,is_out_next_year,experience_age_pedagogic_vin,category_qual_rank,subjects,parallels,n_unique_subjects,min_parallel,max_parallel,n_unique_parallel,is_critical,class_manager,n_unique_subjects_log,has_higher_edu
0,0000c29d68,121,Учитель,английского языка,0,28,,Высшая категория,2028.0,7,7,2024,учитель,не_найдено,высшая,активно,0,0,7,4,Английский язык,7,1,7,7,1,False,1,0.6931471805599453,1.0
1,0000c29d68,121,Учитель,английского языка,0,28,,Высшая категория,2028.0,7,7,2024,учитель,не_найдено,высшая,активно,0,0,7,4,Английский язык,7,1,7,7,1,False,1,0.6931471805599453,1.0
2,0000c29d68,121,Учитель,английского языка,0,28,,Высшая категория,2028.0,7,7,2024,учитель,не_найдено,высшая,активно,0,0,7,4,Английский язык,7,1,7,7,1,False,1,0.6931471805599453,1.0
3,00081033d0,147,Советник директора по воспитанию и взаимодействию с детскими общественными объединениями,,1,31,,Первая категория,2027.0,5,3,2024,другой,не_найдено,первая,активно,2,1,3,3,История,8,1,8,8,1,False,0,0.6931471805599453,1.0
4,000d0f08a6,229,Учитель,английского языка,0,51,,Высшая категория,2026.0,32,32,2024,учитель,не_найдено,высшая,активно,0,0,32,4,Английский язык,3,1,3,3,1,False,0,0.6931471805599453,1.0
5,000d0f08a6,229,Учитель,английского языка,0,51,,Высшая категория,2026.0,32,32,2024,учитель,не_найдено,высшая,активно,0,0,32,4,Английский язык,3,1,3,3,1,False,0,0.6931471805599453,1.0
6,000d0f08a6,229,Учитель,английского языка,0,51,,Высшая категория,2026.0,32,32,2024,учитель,не_найдено,высшая,активно,0,0,32,4,Английский язык,3,1,3,3,1,False,0,0.6931471805599453,1.0
7,000ee8f2b6,442,Учитель,начальных классов,0,47,,Первая категория,2024.0,29,12,2024,учитель,не_найдено,первая,не активно,17,0,12,3,Английский язык,2,1,2,2,1,False,1,0.6931471805599453,1.0
8,000ee8f2b6,442,Учитель,начальных классов,0,47,,Первая категория,2024.0,29,12,2024,учитель,не_найдено,первая,не активно,17,0,12,3,Английский язык,2,1,2,2,1,False,1,0.6931471805599453,1.0
9,000ee8f2b6,442,Учитель,начальных классов,0,47,,Первая категория,2024.0,29,12,2024,учитель,не_найдено,первая,не активно,17,0,12,3,Английский язык,2,1,2,2,1,False,1,0.6931471805599453,1.0
