id,year,school_num,main_position,speciality,sex,age,academic_degree,category_qual,category_due,experience_age_all,experience_age_pedagogic,main_position_cat,academic_degree_cat,category_qual_cat,category_active,experience_age_other,is_out_next_year,experience_age_pedagogic_vin,category_qual_rank,subjects,parallels,n_unique_subjects,min_parallel,max_parallel,n_unique_parallel,class_manager,is_critical,n_unique_subjects_log,main_position_other,main_position_head,studied_in_moscow_any,has_higher_edu,has_prestigious_university,attrition_rate_2022,load_vs_district,school_known,school_size_deviation,buildings_num_filled,pkpp_prog_types_2023,pkpp_total_courses,pkpp_unique_types
0000c29d68,2022,121,Учитель,английского языка,0,26,,Первая категория,2026.0,5,5,учитель,не_найдено,первая,активно,0,0,5,3,Второй иностранный язык (английский),5,1,5,5,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1195652173913043,0.0978729566532001,1.0,-0.0083099338621564,9.0,1.0,4.0,1.0
0000c29d68,2023,121,Учитель,английского языка,0,27,,Первая категория,2026.0,6,6,учитель,не_найдено,первая,активно,0,0,6,3,Английский язык,6,1,6,6,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1195652173913043,0.0978729566532001,1.0,-0.0083099338621564,9.0,1.0,4.0,1.0
000d0f08a6,2022,229,Учитель иностранного языка,,0,49,,Высшая категория,2026.0,30,30,учитель,не_найдено,высшая,активно,0,0,30,4,Иностранный язык (английский),5,1,5,5,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0952380952380952,0.2332389515563461,1.0,-0.4629445957991739,1.0,1.0,2.0,1.0
000d0f08a6,2023,229,Учитель,английского языка,0,50,,Высшая категория,2026.0,31,31,учитель,не_найдено,высшая,активно,0,0,31,4,Английский язык,2,1,2,2,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0952380952380952,0.2332389515563461,1.0,-0.4629445957991739,1.0,1.0,2.0,1.0
000ee8f2b6,2022,442,Учитель,,0,45,,Первая категория,2024.0,27,10,учитель,не_найдено,первая,активно,17,0,10,3,Иностранный язык (английский),2,1,2,2,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0625,-0.3259871158565839,1.0,-0.1376608120540491,7.0,1.0,4.0,1.0
000ee8f2b6,2023,442,Учитель,начальных классов,0,46,,Первая категория,2024.0,28,11,учитель,не_найдено,первая,активно,17,0,11,3,Английский язык,3,1,3,3,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0625,-0.3259871158565839,1.0,-0.1376608120540491,7.0,1.0,4.0,1.0
00106cc362,2022,269,Учитель,,0,48,,Высшая категория,2024.0,30,21,учитель,не_найдено,высшая,активно,9,0,21,4,Иностранный язык (английский),4,1,4,4,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1129943502824858,-0.0520944734936953,1.0,0.5088699451356543,15.0,1.0,3.0,1.0
00106cc362,2023,269,Учитель,английского языка,0,49,,Высшая категория,2024.0,31,22,учитель,не_найдено,высшая,активно,9,0,22,4,Английский язык,2,1,2,2,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1129943502824858,-0.0520944734936953,1.0,0.5088699451356543,15.0,1.0,3.0,1.0
0011288a40,2022,444,Учитель,,0,45,,Высшая категория,2026.0,25,17,учитель,не_найдено,высшая,активно,8,0,17,4,Литературное чтение,3,1,3,3,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1224489795918367,-0.2114154679453611,1.0,-0.5797048187804045,4.0,1.0,3.0,1.0
0011288a40,2023,444,Учитель,начальных классов,0,46,,Высшая категория,2026.0,26,18,учитель,не_найдено,высшая,активно,8,0,18,4,Литературное чтение,4,1,4,4,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1224489795918367,-0.2114154679453611,1.0,-0.5797048187804045,4.0,1.0,3.0,1.0
001495447d,2023,274,Учитель,английского языка,0,34,,,,9,9,учитель,не_найдено,не_найдено,не было,0,0,9,1,Английский язык,2,1,2,2,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1666666666666666,-0.2089667174987749,1.0,-0.0365496459878624,6.0,0.0,0.0,0.0
0014d2acf4,2022,414,Учитель,,0,25,,,,1,1,учитель,не_найдено,не_найдено,не было,0,0,1,1,Биология,5,1,5,5,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1063829787234042,0.3139944000023233,1.0,0.3318284305461901,11.0,1.0,3.0,1.0
0014d2acf4,2023,446,Учитель,биологии,0,26,,,,3,3,учитель,не_найдено,не_найдено,не было,0,0,3,1,Биология,6,1,6,6,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1063829787234042,0.3139944000023233,1.0,0.3318284305461901,11.0,1.0,3.0,1.0
001768adf9,2022,404,Учитель,,0,45,,Высшая категория,2026.0,25,24,учитель,не_найдено,высшая,активно,1,0,24,4,Математика,6,1,6,6,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1379310344827586,-0.1534739859534344,1.0,-0.1782335215778826,7.0,1.0,4.0,1.0
001768adf9,2023,404,Учитель,математики,0,46,,Высшая категория,2026.0,25,25,учитель,не_найдено,высшая,активно,0,0,25,4,Математика и информатика,5,1,5,5,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1379310344827586,-0.1534739859534344,1.0,-0.1782335215778826,7.0,1.0,4.0,1.0
001fac7e33,2022,64,Учитель,,0,53,,Высшая категория,2023.0,30,30,учитель,не_найдено,высшая,активно,0,0,30,4,Литература,6,1,6,6,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0714285714285714,-0.1259018186062147,1.0,0.3223828388401888,7.0,0.0,2.0,1.0
001fac7e33,2023,64,Учитель,русского языка,0,54,,Высшая категория,2023.0,31,31,учитель,не_найдено,высшая,не активно,0,0,31,4,Литература,5,1,5,5,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0714285714285714,-0.1259018186062147,1.0,0.3223828388401888,7.0,0.0,2.0,1.0
001ff7153c,2022,32,Учитель,,0,50,,Первая категория,2023.0,32,32,учитель,не_найдено,первая,активно,0,1,32,3,Окружающий мир,2,1,2,2,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1886792452830188,-0.1853366220289883,1.0,0.1425994240283849,25.0,1.0,2.0,1.0
0021858ba9,2023,144,Методист,,0,63,Кандидат педагогических наук,,,29,22,учитель,кандидат,не_найдено,не было,7,0,22,1,Индивидуальный проект,10,1,10,10,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1290322580645161,-0.1283877558031579,1.0,-0.4143733142279164,2.0,1.0,1.0,1.0
0021d03b81,2022,150,Учитель,,0,39,,Высшая категория,2024.0,19,19,учитель,не_найдено,высшая,активно,0,0,19,4,Изобразительное искусство,2,1,2,2,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1023622047244094,-0.1759464017282074,1.0,0.0893364900997679,13.0,1.0,2.0,1.0
0021d03b81,2023,150,Учитель,начальных классов,0,40,,Высшая категория,2024.0,20,20,учитель,не_найдено,высшая,активно,0,0,20,4,Изобразительное искусство,3,1,3,3,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1023622047244094,-0.1759464017282074,1.0,0.0893364900997679,13.0,1.0,2.0,1.0
00223984f7,2022,135,Учитель,,0,54,,Высшая категория,2025.0,36,29,учитель,не_найдено,высшая,активно,7,0,29,4,Иностранный язык (английский),3,1,3,3,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.119205298013245,-0.0871135090422996,1.0,0.2951953543705902,12.0,1.0,4.0,1.0
00223984f7,2023,135,Учитель,английского языка,0,55,,Высшая категория,2025.0,37,30,учитель,не_найдено,высшая,активно,7,0,30,4,Английский язык,4,1,4,4,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.119205298013245,-0.0871135090422996,1.0,0.2951953543705902,12.0,1.0,4.0,1.0
0022afa879,2023,448,Учитель,русского языка,0,23,,,,5,1,учитель,не_найдено,не_найдено,не было,4,0,1,1,Литература,6,1,6,6,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,12.0,1.0,2.0,1.0
0026113da8,2022,408,Учитель,,0,65,,Высшая категория,2024.0,48,45,учитель,не_найдено,высшая,активно,3,0,45,4,Алгебра и начала математического анализа,10,1,10,10,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1751824817518248,-0.051935602012374,1.0,0.1751110168792772,15.0,1.0,2.0,1.0
0026113da8,2023,408,Учитель,математики,0,66,,Высшая категория,2024.0,49,46,учитель,не_найдено,высшая,активно,3,0,46,4,Геометрия,9,1,9,9,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1751824817518248,-0.051935602012374,1.0,0.1751110168792772,15.0,1.0,2.0,1.0
0027e2f783,2022,412,Учитель,английского языка,0,63,,Первая категория,2017.0,39,36,учитель,не_найдено,первая,не активно,3,0,36,3,Иностранный язык (английский),2,1,2,2,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.095505617977528,-0.0264083244226241,1.0,0.517394634091223,12.0,1.0,3.0,1.0
0027e2f783,2023,412,Учитель,английского языка,0,64,,Первая категория,2017.0,40,37,учитель,не_найдено,первая,не активно,3,0,37,3,Английский язык,2,1,2,2,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.095505617977528,-0.0264083244226241,1.0,0.517394634091223,12.0,1.0,3.0,1.0
002800a12f,2022,280,Учитель,,0,68,,Высшая категория,2022.0,46,46,учитель,не_найдено,высшая,не активно,0,0,46,4,Физика,7,1,7,7,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.094017094017094,-0.264567876629447,1.0,0.1051342296021577,10.0,0.0,0.0,0.0
002800a12f,2023,280,Учитель,физики,0,69,,Высшая категория,2022.0,47,47,учитель,не_найдено,высшая,не активно,0,0,47,4,Практикум по решению физических задач,7,1,7,7,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.094017094017094,-0.264567876629447,1.0,0.1051342296021577,10.0,0.0,0.0,0.0
00374777a8,2022,467,Учитель,,0,38,,Первая категория,2025.0,19,19,учитель,не_найдено,первая,активно,0,0,19,3,Адаптивная физическая культура,4,1,4,4,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0512820512820512,-0.1393841891399524,1.0,-0.0026113921984657,11.0,1.0,2.0,1.0
00374777a8,2023,467,Учитель,начальных классов,0,39,,Первая категория,2025.0,20,20,учитель,не_найдено,первая,активно,0,0,20,3,Изобразительное искусство,1,1,1,1,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0512820512820512,-0.1393841891399524,1.0,-0.0026113921984657,11.0,1.0,2.0,1.0
003caf757a,2022,529,Учитель,,0,50,,Первая категория,2026.0,28,27,учитель,не_найдено,первая,активно,1,0,27,3,Литература,8,1,8,8,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1525423728813559,2.772150657301466,1.0,-0.4970433516214486,5.0,0.0,0.0,0.0
003caf757a,2023,529,Учитель,русского языка,0,51,,Первая категория,2026.0,29,28,учитель,не_найдено,первая,активно,1,0,28,3,Литература,5,1,5,5,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1525423728813559,2.772150657301466,1.0,-0.4970433516214486,5.0,0.0,0.0,0.0
003fdefb41,2022,126,Учитель,математики,0,30,,Высшая категория,2024.0,8,8,учитель,не_найдено,высшая,активно,0,0,8,4,Математика,6,1,6,6,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.1917808219178082,-0.2303909008499352,1.0,-0.3776977062434872,7.0,1.0,4.0,1.0
003fdefb41,2023,435,Учитель,математики,0,31,,Высшая категория,2024.0,9,9,учитель,не_найдено,высшая,активно,0,0,9,4,Алгебра,7,1,7,7,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0,-0.9827300631307286,1.0,-0.9592010391761892,16.0,1.0,4.0,1.0
004721c877,2022,146,Учитель,,0,65,,Высшая категория,2025.0,40,40,учитель,не_найдено,высшая,активно,0,0,40,4,Литературное чтение,3,1,3,3,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0849673202614379,-0.1231690297728901,1.0,0.312350259726492,9.0,0.0,0.0,0.0
004721c877,2023,146,Учитель,начальных классов,0,66,,Высшая категория,2025.0,41,41,учитель,не_найдено,высшая,активно,0,1,41,4,Литературное чтение,4,1,4,4,1,1,False,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0849673202614379,-0.1231690297728901,1.0,0.312350259726492,9.0,0.0,0.0,0.0
004a9de52c,2022,120,Учитель,,0,36,,Первая категория,2026.0,13,13,учитель,не_найдено,первая,активно,0,0,13,3,Второй иностранный язык (итальянский),5,1,5,5,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,1.0,0.1785714285714285,0.0795802066882071,1.0,0.2072748631243312,14.0,1.0,2.0,1.0
004a9de52c,2023,120,Педагог-организатор,,0,37,,Первая категория,2026.0,14,14,учитель,не_найдено,первая,активно,0,1,14,3,Итальянский язык,5,1,5,5,1,0,False,0.6931471805599453,0.0,0.0,0.0,1.0,1.0,0.1785714285714285,0.0795802066882071,1.0,0.2072748631243312,14.0,1.0,2.0,1.0
